season,points,name,rank,round
1928,23,F.C. Barcelona,1,18
1928,23,Real Madrid C.F.,2,18
1928,20,Athletic Club,3,18
1928,20,Real Sociedad,4,18
1928,19,Arenas de Guecho,5,18
1928,18,At. de Madrid,6,18
1928,18,R.C.D. Espanyol,7,18
1928,16,C.D. Europa,8,18
1928,12,Real Unión Club,9,18
1928,9,Real Racing Club,10,18
1939,29,At. de Madrid,1,22
1939,28,Sevilla F.C.,2,22
1939,26,Athletic Club,3,22
1939,25,Real Madrid C.F.,4,22
1939,24,R.C.D. Espanyol,5,22
1939,23,Hércules C.F.,6,22
1939,21,Real Zaragoza CD,7,22
1939,21,Valencia C.F.,8,22
1939,19,F.C. Barcelona,9,22
1939,19,RC Celta de Vigo,10,22
1939,16,Real Betis B. S.,11,22
1939,13,Real Racing Club,12,22
1932,28,Real Madrid C.F.,1,18
1932,26,Athletic Club,2,18
1932,22,R.C.D. Espanyol,3,18
1932,19,F.C. Barcelona,4,18
1932,17,Real Betis B. S.,5,18
1932,15,Real Sociedad,6,18
1932,14,Arenas de Guecho,7,18
1932,14,Real Racing Club,8,18
1932,13,Valencia C.F.,9,18
1932,12,C.D. Alavés,10,18
1933,24,Athletic Club,1,18
1933,22,Real Madrid C.F.,2,18
1933,19,Real Racing Club,3,18
1933,19,Real Betis B. S.,4,18
1933,18,Real Sociedad,5,18
1933,18,Real Oviedo C.F.,6,18
1933,17,Valencia C.F.,7,18
1933,17,R.C.D. Espanyol,8,18
1933,16,F.C. Barcelona,9,18
1933,10,Arenas de Guecho,10,18
1935,31,Athletic Club,1,22
1935,29,Real Madrid C.F.,2,22
1935,28,Real Oviedo C.F.,3,22
1935,27,Real Racing Club,4,22
1935,24,F.C. Barcelona,5,22
1935,24,Hércules C.F.,6,22
1935,20,Real Betis B. S.,7,22
1935,19,Valencia C.F.,8,22
1935,17,R.C.D. Espanyol,9,22
1935,16,Sevilla F.C.,10,22
1935,15,At. de Madrid,11,22
1935,14,C. At. Osasuna,12,22
1934,34,Real Betis B. S.,1,22
1934,33,Real Madrid C.F.,2,22
1934,26,Real Oviedo C.F.,3,22
1934,25,Athletic Club,4,22
1934,24,Sevilla F.C.,5,22
1934,24,F.C. Barcelona,6,22
1934,21,At. de Madrid,7,22
1934,20,R.C.D. Espanyol,8,22
1934,20,Valencia C.F.,9,22
1934,17,Real Racing Club,10,22
1934,11,Real Sociedad,11,22
1934,9,Arenas de Guecho,12,22
1931,28,Real Madrid C.F.,1,18
1931,25,Athletic Club,2,18
1931,24,F.C. Barcelona,3,18
1931,20,Real Racing Club,4,18
1931,17,Arenas de Guecho,5,18
1931,15,R.C.D. Espanyol,6,18
1931,15,Valencia C.F.,7,18
1931,14,Real Sociedad,8,18
1931,11,C.D. Alavés,9,18
1931,11,Real Unión Club,10,18
1929,30,Athletic Club,1,18
1929,23,F.C. Barcelona,2,18
1929,20,Arenas de Guecho,3,18
1929,20,R.C.D. Espanyol,4,18
1929,17,Real Madrid C.F.,5,18
1929,17,Real Unión Club,6,18
1929,14,Real Sociedad,7,18
1929,14,Real Racing Club,8,18
1929,13,C.D. Europa,9,18
1929,12,At. de Madrid,10,18
1950,40,At. de Madrid,1,30
1950,38,Sevilla F.C.,2,30
1950,37,Valencia C.F.,3,30
1950,35,F.C. Barcelona,4,30
1950,35,Real Sociedad,5,30
1950,33,Real Valladolid,6,30
1950,33,Athletic Club,7,30
1950,33,RC Celta de Vigo,8,30
